mmsi,name,year,gaps,flags,either_endpoint_inside_eez
412331068,LURONGYUANYU802,2022,1,CHN,0
412331068,LURONGYUANYU802,2023,1,CHN,0
412331068,LURONGYUANYU802,2025,1,CHN,0
440899000,F/V SAE IN CHAMPION,2017,5,KOR,0
440899000,F/V SAE IN CHAMPION,2018,8,KOR,0
224732000,PLAYA DE SARTAXENS,2017,46,ESP,0
224732000,PLAYA DE SARTAXENS,2018,46,ESP,0
224732000,PLAYA DE SARTAXENS,2019,31,ESP,0
224732000,PLAYA DE SARTAXENS,2020,16,ESP,0
224732000,PLAYA DE SARTAXENS,2021,34,ESP,0
224732000,PLAYA DE SARTAXENS,2022,3,ESP,0
224732000,PLAYA DE SARTAXENS,2023,1,ESP,0
224732000,PLAYA DE SARTAXENS,2025,1,ESP,0
224526000,FAKIR,2017,15,ESP,0
224526000,FAKIR,2018,9,ESP,0
224526000,FAKIR,2019,26,ESP,0
224526000,FAKIR,2020,13,ESP,0
224526000,FAKIR,2021,6,ESP,0
224526000,FAKIR,2022,2,ESP,0
224526000,FAKIR,2023,4,ESP,0
224526000,FAKIR,2026,1,ESP,0
224770000,PLAYA PESMAR DOS,2017,25,ESP,2
224770000,PLAYA PESMAR DOS,2018,46,ESP,2
224770000,PLAYA PESMAR DOS,2019,27,ESP,1
224770000,PLAYA PESMAR DOS,2020,35,ESP,0
224770000,PLAYA PESMAR DOS,2021,33,ESP,0
224770000,PLAYA PESMAR DOS,2022,27,ESP,0
224770000,PLAYA PESMAR DOS,2023,34,ESP,1
224770000,PLAYA PESMAR DOS,2024,24,ESP,0
224770000,PLAYA PESMAR DOS,2025,4,ESP,0
224770000,PLAYA PESMAR DOS,2026,12,ESP,0
441784000,SAE IN MASTER,2017,2,KOR,0
441784000,SAE IN MASTER,2020,5,KOR,0
441784000,SAE IN MASTER,2021,10,KOR,1
441784000,SAE IN MASTER,2022,1,KOR,0
440216000,102KUMYANG,2017,3,KOR,0
440216000,102KUMYANG,2018,2,KOR,0
440216000,102KUMYANG,2019,4,KOR,0
440216000,102KUMYANG,2020,1,KOR,0
412331052,JING YUAN 616,2017,5,CHN,0
412331052,JING YUAN 616,2018,3,CHN,0
412331052,JING YUAN 616,2019,3,CHN,0
412331052,JING YUAN 616,2022,4,CHN,0
412331052,JING YUAN 616,2023,6,CHN,0
412331052,JING YUAN 616,2024,10,CHN,0
412331052,JING YUAN 616,2025,3,CHN,0
412331052,JING YUAN 616,2026,9,CHN,0
441769000,OYANG75,2017,53,KOR,1
441769000,OYANG75,2018,76,KOR,0
441769000,OYANG75,2019,47,KOR,1
412331067,LURONGYUANYU801,2017,12,CHN,0
412331067,LURONGYUANYU801,2018,19,CHN,0
412331067,LURONGYUANYU801,2019,47,CHN,0
412331067,LURONGYUANYU801,2020,19,CHN,0
412331053,JING YUAN 618,2017,4,CHN,0
412331053,JING YUAN 618,2018,1,CHN,0
412331053,JING YUAN 618,2023,10,CHN,0
412331053,JING YUAN 618,2025,1,CHN,0
412331053,JING YUAN 618,2026,3,CHN,0
412331091,JING YUAN628,2017,16,CHN,0
412331091,JING YUAN628,2018,1,CHN,0
412331091,JING YUAN628,2021,1,CHN,0
412331091,JING YUAN628,2023,1,CHN,0
412331091,JING YUAN628,2026,1,CHN,0
440652000,808TONGYOUNG,2017,9,KOR,1
440652000,808TONGYOUNG,2018,1,KOR,0
440652000,808TONGYOUNG,2019,1,KOR,0
224540000,PESCA VAQUEIRO,2017,6,ESP,0
224540000,PESCA VAQUEIRO,2018,20,ESP,0
224540000,PESCA VAQUEIRO,2019,13,ESP,0
224540000,PESCA VAQUEIRO,2020,39,ESP,0
224540000,PESCA VAQUEIRO,2021,3,ESP,0
224540000,PESCA VAQUEIRO,2022,4,ESP,0
224540000,PESCA VAQUEIRO,2023,5,ESP,0
412331135,LU YAN YUAN YU 518,2017,1,CHN,0
224888000,SANTA MARINA,2017,20,ESP,0
224888000,SANTA MARINA,2018,45,ESP,0
224888000,SANTA MARINA,2019,13,ESP,0
224888000,SANTA MARINA,2020,26,ESP,0
224888000,SANTA MARINA,2021,41,ESP,0
224888000,SANTA MARINA,2022,30,ESP,0
224888000,SANTA MARINA,2023,20,ESP,0
224888000,SANTA MARINA,2024,15,ESP,0
224888000,SANTA MARINA,2025,1,ESP,0
224888000,SANTA MARINA,2026,4,ESP,0
441412000,AGNES109,2017,4,KOR,0
412331037,LU YAN YUAN YU 009,2017,1,CHN,0
701045000,VERDEL,2017,26,ARG,23
701045000,VERDEL,2018,13,ARG,12
701045000,VERDEL,2020,1,ARG,1
701045000,VERDEL,2021,1,ARG,1
701045000,VERDEL,2025,2,ARG,2
412328785,WEIYU18,2017,1,CHN,0
412328785,WEIYU18,2018,19,CHN,0
412328785,WEIYU18,2019,11,CHN,0
412328785,WEIYU18,2025,1,CHN,0
412328785,WEIYU18,2026,1,CHN,0
740375000,PROTEGAT,2017,10,FLK,0
